-	利比里亚	索马里	莱索托	安哥拉	斯威士兰	布隆迪	乍得	塞舌尔	佛得角	几内亚比绍	吉布提	厄立特里亚
1966	1	1	1									
1967	3		1	1	1							
1968	2	1										
1969		1	1									
1970	2		1	1		2						
1971	1		1	1								
1972	6		3		3		2					
1973	9		5	8	2	1	13					
1974	1	2	5	7	2		10					
1975	7	1	15	7	2	1	8					
1976	1	3	12			3	6					
1977	6	1	8	5	8		6	2				
1978	5	4	8	1	5	1	5	3				
1979	7	12	7	1	9	6	9	9				
1980	13	15	7		13	4	2	6				
1981	16	13	7	1	4	7	1	3				
1982	4	3	16	2	7	6	1	4				
1983	22	6	8	3	11	4	1	5				
1984	27	7	14	3	8	16	1					
1985	23	10	10		7	17	1	2				
1986	9	15	9	3		8		2				
1987	7	21	10	5	8	18	1	4	1			
1988	12	22	6	6	6	19	2	1				
1989	12	30	6		12	20	1			4	3	
1990	13	16	7	5	6	10	2			7	9	
1991	18	18	13	5	11	18	3	3	2	9	2	
1992	10	14	3	9	9	12	1	5	2	7	4	
1993	4	10	13	9	11	16	9	4	3	10	5	
1994	4	15	11	6	11	31	2	5		12	4	2
1995	1	5	9	10	13	20	8	21	1	8	3	1
1996	4	2	6	3	12	21	3	10	2	12	1	6
1997	1		6	12	12	29	7	6	1	15	4	4
1998	2	1	3	6	16	6	7	15	1	11	3	17
1999	1	1	10	11	11	15	9	11	2	20	3	12
2000		1	8	15	7	4	10	14	1	12		11
2001	3		11	13	16	8	12	10	1	16	1	19
2002	5	1	6	12	14	5	12	10		21	1	27
2003	2		6	7	18	13	12	18	4	21	1	19
2004	5	1	6	10	10	8	7	9	2	20	3	24
2005	8		5	20	25	11	24	16	1	25	2	30
2006	6	3	19	15	18	6	28	26	8	19	2	37
2007	1		14	20	26	16	13	36	3	30	3	37
2008	6	1	22	25	23	8	14	27	5	22	2	18
2009	5	3	31	46	35	12	21	26	15	27	7	21
2010	14	3	29	39	61	31	12	25	16	25	8	17
2011	14	4	27	35	52	23	22	34	7	29	9	25
2012	16	4	29	47	46	20	20	39	12	35	9	5
2013	20	7	30	51	52	35	19	50	23	43	12	23
2014	26	15	35	71	40	32	31	39	32	48	17	25
2015	61	15	34	93	64	45	36	48	31	47	11	27
2016	65	11	34	90	71	44	42	53	34	58	16	22