-	乌干达	南非	埃及	尼日利亚	肯尼亚	加纳	坦桑尼亚	埃塞俄比亚	突尼斯	阿尔及利亚	喀麦隆	摩洛哥
1960	1	1	1	1	1							
1965		3	1									
1966	21	46	9	41	12	14	11	11	2	2		
1967	24	35	12	25	18	18	17	10	3	1		
1968	26	50	10	27	14	19	17	8	1	2	2	5
1969	25	46	4	30	17	20	14	4	1	1	1	5
1970	51	129	2	56	26	26	15	9	1	1		5
1971	23	105	1	79	19	30	17	5	7	8	1	5
1972	54	217	2	123	33	37	25	14	7	15	4	3
1973	176	1871	21	454	187	102	78	62	32	74	28	27
1974	113	2058	23	543	210	117	65	55	43	60	24	31
1975	83	2092	49	628	250	91	87	46	61	80	27	25
1976	80	2270	767	733	219	98	105	45	36	42	41	31
1977	69	2951	1053	951	284	104	123	46	73	88	37	47
1978	53	2909	1141	1048	305	88	102	52	79	90	32	66
1979	34	2955	1206	1120	307	81	87	63	99	70	48	105
1980	62	2925	1330	1100	322	95	83	51	107	111	43	120
1981	37	3034	1457	1196	412	84	96	58	134	126	43	108
1982	39	3347	1533	1252	397	82	123	132	123	127	34	128
1983	36	3384	1562	1235	403	61	120	111	144	148	45	108
1984	27	3516	1516	1286	456	67	111	105	146	163	29	150
1985		3822	1465	1173	362	77	120	78	172	157	37	157
1986	15	4215	1576	1235	373	51	120	91	197	163	54	150
1987	41	4420	1674	1168	421	48	107	132	215	162	52	175
1988	32	4301	1718	1140	421	62	102	131	234	158	62	251
1989	25	3748	1844	1097	432	64	129	109	265	149	94	231
1990	53	3599	1851	1099	455	64	145	152	281	180	113	249
1991	51	3711	2063	992	494	80	149	181	318	212	127	361
1992	58	3745	1890	949	547	115	166	153	291	252	154	408
1993	73	4012	2037	941	629	110	186	208	334	260	167	443
1994	93	4329	2383	790	599	127	205	211	371	306	193	514
1995	93	4479	2414	820	592	129	232	202	374	320	168	626
1996	120	4351	2621	799	599	156	242	219	370	372	161	680
1997	132	4515	2477	836	606	186	268	238	528	385	199	838
1998	161	4616	2595	798	590	168	224	210	537	424	195	976
1999	184	4619	2592	831	616	179	224	262	650	466	186	1085
2000	180	4537	2871	845	568	187	239	238	692	505	205	1186
2001	192	4615	2997	723	587	182	229	225	802	548	209	1202
2002	175	4993	3220	872	648	196	258	274	921	620	256	1220
2003	248	4768	3597	895	697	203	325	289	1073	752	301	1115
2004	299	5242	3541	993	663	216	317	308	1393	966	333	1129
2005	347	5549	3600	1333	814	321	473	325	1565	999	453	1146
2006	400	6926	4267	1488	880	321	498	363	2058	1312	452	1316
2007	566	8101	5057	2051	1108	425	586	460	2540	1663	539	1515
2008	596	8893	5482	2535	1186	456	589	474	3016	2033	600	1636
2009	738	9854	6653	2826	1307	562	688	593	3664	2333	651	1782
2010	916	10157	7138	2980	1429	623	748	658	3693	2216	707	1190
2011	900	11637	8208	2853	1595	639	764	762	3892	2500	685	1271
2012	989	13577	9316	2780	1661	750	792	843	4211	3133	734	2358
2013	1099	14032	10417	2943	1780	954	956	1072	5067	3642	814	1561
2014	1104	15330	11777	3431	2079	961	1084	1224	5608	4075	988	2611
2015	1242	16246	13025	3356	2125	1216	1186	1408	6205	4711	971	3170
2016	1392	17495	14492	3670	2346	1187	1134	1514	6723	4825	1024	3781